month,n_orders,n_active_sellers,orders_per_seller
2016-09,4,3.0,1.3333333333333333
2016-10,324,143.0,2.265734265734266
2016-12,1,1.0,1.0
2017-01,800,227.0,3.5242290748898677
2017-02,1780,427.0,4.168618266978923
2017-03,2682,499.0,5.374749498997996
2017-04,2404,506.0,4.75098814229249
2017-05,3700,583.0,6.346483704974271
2017-06,3245,539.0,6.020408163265306
2017-07,4026,606.0,6.643564356435643
2017-08,4331,708.0,6.117231638418079
2017-09,4285,731.0,5.861833105335157
2017-10,4631,776.0,5.967783505154639
2017-11,7544,965.0,7.817616580310881
2017-12,5673,861.0,6.588850174216028
2018-01,7269,970.0,7.493814432989691
2018-02,6728,947.0,7.10454065469905
2018-03,7211,996.0,7.23995983935743
2018-04,6939,1123.0,6.178984861976848
2018-05,6873,1115.0,6.164125560538117
2018-06,6167,1175.0,5.248510638297872
2018-07,6292,1261.0,4.989690721649485
2018-08,6512,1278.0,5.09546165884194
2018-09,16,1.0,16.0
2018-10,4,,
