category,n_orders,total_revenue,revenue_share,cum_revenue_share
health_beauty,8836,1258681.339999999,0.09260699940213865,0.09260699940213865
watches_gifts,5624,1205005.6800000104,0.08865783319496477,0.1812648325971034
bed_bath_table,9417,1036988.6800000605,0.07629604651864484,0.25756087911574826
sports_leisure,7720,988048.9700000347,0.07269532602594792,0.3302562051416962
computers_accessories,6689,911954.3200000328,0.06709669118239321,0.3973528963240894
furniture_decor,6449,729762.4900000344,0.05369199679653348,0.45104489312062285
cool_stuff,3632,635290.85,0.04674128192456893,0.4977861750451918
housewares,5884,632248.6600000175,0.046517453955919164,0.544303629001111
auto,3897,592720.1100000081,0.043609155969855214,0.5879127849709662
garden_tools,3518,485256.46000001056,0.03570255891860996,0.6236153438895762
toys,3886,483946.60000000295,0.03560618646882248,0.6592215303583987
baby,2885,411764.89000000246,0.030295444692976816,0.6895169750513755
perfumery,3162,399124.8699999999,0.029365460043658618,0.7188824350950341
telephony,4199,323667.52999999013,0.02381371504021884,0.7426961501352529
office_furniture,1273,273960.69999999786,0.02015655398618153,0.7628527041214345
stationery,2311,230943.2299999965,0.01699156004214511,0.7798442641635795
computers,181,222963.12999999983,0.01640442722906257,0.7962486913926421
pet_shop,1710,214315.40999999733,0.015768174529177392,0.8120168659218194
musical_instruments,628,191498.87999999913,0.014089457038959644,0.8261063229607791
small_appliances,630,190648.57999999955,0.014026896540850091,0.8401332195016292
unknown,1473,185049.7599999984,0.013614965495306197,0.8537481849969354
electronics,2550,160246.73999999746,0.011790092761186437,0.8655382777581219
consoles_games,1062,157465.21999999916,0.011585443488339602,0.8771237212464614
fashion_bags_accessories,1864,152823.53999999858,0.011243933653145754,0.8883676548996072
construction_tools_construction,748,144677.58999999982,0.010644598489585025,0.8990122533891922
luggage_accessories,1034,140429.97999999876,0.010332082204302989,0.9093443355934953
home_appliances_2,234,113317.73999999992,0.008337309489653437,0.9176816450831486
home_construction,490,83088.12,0.006113176730787819,0.9237948218139365
home_appliances,764,80171.53000000009,0.005898589734220224,0.9296934115481567
agro_industry_and_commerce,182,72530.47000000002,0.0053364016597932905,0.93502981320795
furniture_living_room,422,68916.56000000017,0.005070509610254073,0.9401003228182041
fixed_telephony,217,59582.99999999999,0.004383796494017804,0.9444841193122219
home_confort,397,58572.0400000002,0.004309415497700208,0.9487935348099221
air_conditioning,253,55024.960000000065,0.004048440439915248,0.9528419752498374
audio,350,50688.5000000001,0.0037293870497796676,0.956571362299617
small_appliances_home_oven_and_coffee,75,47445.71000000001,0.0034908000126577295,0.9600621623122748
books_general_interest,512,46856.880000000165,0.0034474770700470554,0.9635096393823218
kitchen_dining_laundry_garden_furniture,248,46328.37000000005,0.003408592148424213,0.9669182315307461
construction_tools_lights,244,41080.00000000006,0.003022445327933331,0.9699406768586794
construction_tools_safety,167,40544.52000000004,0.002983047591219558,0.9729237244498989
industry_commerce_and_business,235,39669.61000000004,0.002918676421748717,0.9758424008716476
food,450,29393.410000000116,0.002162608927130698,0.9780050097987784
market_place,280,28378.47000000007,0.0020879351038314577,0.9800929449026098
costruction_tools_garden,194,25715.890000000032,0.00189203679610875,0.9819849816987185
art,202,24202.639999999974,0.00178070000466534,0.9837656817033839
fashion_shoes,240,23562.77000000003,0.001733621813526476,0.9854993035169103
drinks,297,22428.69999999999,0.0016501830459254667,0.9871494865628357
signaling_and_security,140,21509.230000000003,0.0015825333914543174,0.98873201995429
furniture_bedroom,95,20028.78,0.0014736098474976741,0.9902056298017877
books_technical,260,19096.05999999998,0.0014049853293314123,0.9916106151311191
costruction_tools_tools,97,15903.949999999993,0.0011701270538750051,0.9927807421849941
food_drink,227,15179.479999999983,0.0011168244500111325,0.9938975666350053
fashion_male_clothing,112,10797.819999999982,0.0007944454871194007,0.9946920121221247
fashion_underwear_beach,121,9541.54999999999,0.0007020159011378336,0.9953940280232625
christmas_supplies,128,8800.81999999999,0.0006475169739771702,0.9960415449972396
tablets_printing_image,79,7528.409999999996,0.0005538998936530313,0.9965954448908927
cine_photo,65,6933.459999999996,0.0005101266743771322,0.9971055715652698
music,38,6034.349999999999,0.000443974999138619,0.9975495465644084
dvds_blu_ray,59,5999.389999999998,0.0004414028304758986,0.9979909493948843
books_imported,53,4639.849999999998,0.0003413751936419532,0.9983323245885263
party_supplies,39,4485.18,0.00032999540739873413,0.998662319995925
furniture_mattress_and_upholstery,38,4368.08,0.00032137981957251717,0.9989836998154975
fashio_female_clothing,39,2803.6400000000012,0.00020627674340815473,0.9991899765589056
fashion_sport,27,2119.510000000001,0.000155942139654527,0.9993459186985602
la_cuisine,13,2054.99,0.00015119510526898018,0.9994971138038291
arts_and_craftmanship,23,1814.0100000000002,0.00013346509370312402,0.9996305788975323
diapers_and_hygiene,27,1567.5900000000001,0.00011533483621263399,0.9997459137337449
flowers,29,1110.04,8.167076951847881e-05,0.9998275845032634
home_comfort_2,24,760.2699999999999,5.59365752061312e-05,0.9998835210784695
cds_dvds_musicals,12,730.0,5.3709471504170604e-05,0.9999372305499736
fashion_childrens_clothes,8,569.85,4.192649635157756e-05,0.9999791570463252
security_and_services,2,283.28999999999996,2.0842953674543136e-05,0.9999999999999998
