customer_state,avg_delay_days,avg_review_score,n_orders
AL,-8.827848101265824,3.8556962025316457,392
MA,-9.712270803949224,3.829337094499295,707
SE,-10.072507552870091,3.900302114803625,331
ES,-10.682233502538072,4.081218274111675,1964
CE,-10.84343036978757,3.945712037765539,1270
BA,-10.900062073246431,3.931409062693979,3216
MS,-11.0,4.1587982832618025,697
SP,-11.088098379427946,4.247666226880088,40068
PI,-11.319148936170214,3.991489361702128,469
SC,-11.561378524636856,4.135289091426944,3506
RJ,-11.819152431011826,3.9678876478318004,12146
DF,-12.05765503875969,4.136143410852713,2055
TO,-12.121771217712178,4.162361623616236,271
GO,-12.254760679361812,4.103448275862069,1937
MG,-13.268028419182949,4.195026642984014,11235
PR,-13.336266884977487,4.242734343020876,4877
PE,-13.374683544303798,4.082911392405063,1575
PB,-13.430528375733855,4.074363992172211,510
RN,-13.66595744680851,4.146808510638298,469
RS,-13.915177731803649,4.186759450818131,5300
PA,-14.157327586206897,3.9170258620689653,926
MT,-14.458380843785633,4.148232611174459,875
AM,-19.45138888888889,4.215277777777778,143
AP,-19.727272727272727,4.242424242424242,66
RO,-20.05020920502092,4.171548117154812,239
AC,-20.70886075949367,4.113924050632911,79
